10:53:51,498 INFO  [ClientStatsWriter] Client:202 - Commands sent 58, Response received 58, Total Commands 3556, Total Responses 3556, Avg latency (ms) 2.09, Lantencies size 1,
10:53:52,499 INFO  [ClientStatsWriter] Client:202 - Commands sent 65, Response received 65, Total Commands 3621, Total Responses 3621, Avg latency (ms) 2.00, Lantencies size 1,
10:53:53,499 INFO  [ClientStatsWriter] Client:202 - Commands sent 69, Response received 68, Total Commands 3690, Total Responses 3689, Avg latency (ms) 0.00, Lantencies size 0,
10:53:54,500 INFO  [ClientStatsWriter] Client:202 - Commands sent 64, Response received 65, Total Commands 3754, Total Responses 3754, Avg latency (ms) 2.08, Lantencies size 1,
10:53:55,501 INFO  [ClientStatsWriter] Client:202 - Commands sent 57, Response received 57, Total Commands 3811, Total Responses 3811, Avg latency (ms) 2.00, Lantencies size 1,
10:53:56,501 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 3873, Total Responses 3873, Avg latency (ms) 0.00, Lantencies size 0,
10:53:57,502 INFO  [ClientStatsWriter] Client:202 - Commands sent 64, Response received 64, Total Commands 3937, Total Responses 3937, Avg latency (ms) 2.05, Lantencies size 1,
10:53:58,503 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 3999, Total Responses 3999, Avg latency (ms) 0.00, Lantencies size 0,
10:53:59,503 INFO  [ClientStatsWriter] Client:202 - Commands sent 57, Response received 57, Total Commands 4056, Total Responses 4056, Avg latency (ms) 2.07, Lantencies size 1,
10:54:00,504 INFO  [ClientStatsWriter] Client:202 - Commands sent 69, Response received 69, Total Commands 4125, Total Responses 4125, Avg latency (ms) 2.05, Lantencies size 1,
10:54:01,505 INFO  [ClientStatsWriter] Client:202 - Commands sent 57, Response received 57, Total Commands 4182, Total Responses 4182, Avg latency (ms) 0.00, Lantencies size 0,
10:54:02,505 INFO  [ClientStatsWriter] Client:202 - Commands sent 65, Response received 65, Total Commands 4247, Total Responses 4247, Avg latency (ms) 2.02, Lantencies size 1,
10:54:03,506 INFO  [ClientStatsWriter] Client:202 - Commands sent 59, Response received 59, Total Commands 4306, Total Responses 4306, Avg latency (ms) 2.04, Lantencies size 1,
10:54:04,506 INFO  [ClientStatsWriter] Client:202 - Commands sent 63, Response received 62, Total Commands 4369, Total Responses 4368, Avg latency (ms) 0.00, Lantencies size 0,
10:54:05,507 INFO  [ClientStatsWriter] Client:202 - Commands sent 60, Response received 61, Total Commands 4429, Total Responses 4429, Avg latency (ms) 2.03, Lantencies size 1,
10:54:06,508 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 4491, Total Responses 4491, Avg latency (ms) 0.00, Lantencies size 0,
10:54:07,508 INFO  [ClientStatsWriter] Client:202 - Commands sent 68, Response received 68, Total Commands 4559, Total Responses 4559, Avg latency (ms) 2.02, Lantencies size 1,
10:54:08,509 INFO  [ClientStatsWriter] Client:202 - Commands sent 66, Response received 66, Total Commands 4625, Total Responses 4625, Avg latency (ms) 2.07, Lantencies size 1,
10:54:09,510 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 4687, Total Responses 4687, Avg latency (ms) 0.00, Lantencies size 0,
10:54:10,510 INFO  [ClientStatsWriter] Client:202 - Commands sent 66, Response received 66, Total Commands 4753, Total Responses 4753, Avg latency (ms) 2.00, Lantencies size 1,
10:54:11,511 INFO  [ClientStatsWriter] Client:202 - Commands sent 60, Response received 60, Total Commands 4813, Total Responses 4813, Avg latency (ms) 2.12, Lantencies size 1,
10:54:12,512 INFO  [ClientStatsWriter] Client:202 - Commands sent 65, Response received 64, Total Commands 4878, Total Responses 4877, Avg latency (ms) 0.00, Lantencies size 0,
10:54:13,512 INFO  [ClientStatsWriter] Client:202 - Commands sent 71, Response received 72, Total Commands 4949, Total Responses 4949, Avg latency (ms) 2.05, Lantencies size 1,
10:54:14,513 INFO  [ClientStatsWriter] Client:202 - Commands sent 61, Response received 61, Total Commands 5010, Total Responses 5010, Avg latency (ms) 2.05, Lantencies size 1,
10:54:15,513 INFO  [ClientStatsWriter] Client:202 - Commands sent 56, Response received 56, Total Commands 5066, Total Responses 5066, Avg latency (ms) 0.00, Lantencies size 0,
10:54:16,514 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 5128, Total Responses 5128, Avg latency (ms) 2.11, Lantencies size 1,
10:54:17,514 INFO  [ClientStatsWriter] Client:202 - Commands sent 66, Response received 66, Total Commands 5194, Total Responses 5194, Avg latency (ms) 0.00, Lantencies size 0,
10:54:18,515 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 5256, Total Responses 5256, Avg latency (ms) 1.99, Lantencies size 1,
10:54:19,516 INFO  [ClientStatsWriter] Client:202 - Commands sent 60, Response received 60, Total Commands 5316, Total Responses 5316, Avg latency (ms) 2.24, Lantencies size 1,
10:54:20,516 INFO  [ClientStatsWriter] Client:202 - Commands sent 66, Response received 65, Total Commands 5382, Total Responses 5381, Avg latency (ms) 0.00, Lantencies size 0,
10:54:21,517 INFO  [ClientStatsWriter] Client:202 - Commands sent 59, Response received 60, Total Commands 5441, Total Responses 5441, Avg latency (ms) 2.10, Lantencies size 1,
10:54:22,518 INFO  [ClientStatsWriter] Client:202 - Commands sent 60, Response received 60, Total Commands 5501, Total Responses 5501, Avg latency (ms) 2.06, Lantencies size 1,
10:54:23,518 INFO  [ClientStatsWriter] Client:202 - Commands sent 64, Response received 64, Total Commands 5565, Total Responses 5565, Avg latency (ms) 0.00, Lantencies size 0,
10:54:24,066 INFO  [Command Sender 1] Client:268 - Thread [Command Sender 1] terminated.
10:54:24,069 INFO  [Command Sender 0] Client:268 - Thread [Command Sender 0] terminated.
10:54:25,098 INFO  [ShutdownHook] Client:571 - Raw path created [ /tmp/c581e5e8-44bc-41ad-a70d-6382d0aac18b]
