name, sem_throughputReplica (avg)(kCommands/s), sem_throughputReplica (med)(kCommands/s), sem_throughputReplica (p95)(kCommands/s), sem_latency (avg)(ms), sem_latency (med)(ms), sem_latency (p95)(ms), cou_throughputReplica (avg)(kCommands/s), cou_throughputReplica (med)(kCommands/s), cou_throughputReplica (p95)(kCommands/s), cou_latency (avg)(ms), cou_latency (med)(ms), cou_latency (med)(ms), dec_throughputReplica (avg)(kCommands/s), dec_throughputReplica (med)(kCommands/s), dec_throughputReplica (p95)(kCommands/s), dec_latency (avg)(ms), dec_latency (med)(ms), dec_latency (p95)(ms), 
io_256_90_001,14.28,14.29,15.29,11.75,11.93,16.14,30.43,30.61,32.79,2.18,1.51,4.71,29.18,29.49,31.45,3.64,3.40,4.86,
io_512_90_001,34.72,35.26,46.93,7.97,7.00,14.27,33.27,33.48,40.66,8.36,6.93,14.76,34.61,31.84,47.78,23.42,22.04,36.28,
io_768_90_001,36.65,37.03,45.83,8.76,6.67,15.78,28.54,28.07,37.58,16.71,14.01,29.54,38.16,38.19,57.31,10.20,6.58,20.55,
io_1024_90_001,41.46,42.17,53.92,82.02,88.90,106.86,33.41,33.97,38.68,18.84,17.73,30.83,34.61,34.98,40.89,17.94,18.95,30.92,
io_1280_90_001,41.93,40.17,55.83,15.33,11.98,27.58,33.45,32.49,41.36,16.58,15.61,33.26,39.79,42.54,53.02,32.09,33.54,55.81,
io_1536_90_001,39.22,38.60,52.23,19.41,7.72,32.52,34.03,35.07,43.05,82.82,85.08,104.77,36.62,36.45,53.38,18.89,15.05,46.78,
io_1792_90_001,35.58,39.38,50.06,14.58,11.24,31.82,35.18,35.81,41.02,31.36,36.97,62.46,36.54,36.64,42.64,128.07,133.72,158.03,
io_2048_90_001,34.12,35.18,47.96,114.61,113.41,137.24,30.04,31.18,35.28,78.36,80.71,100.70,31.89,31.91,36.00,184.13,188.36,213.64,

cpu_8_90_001,1.01,1.02,1.03,1.74,1.71,2.20,1.00,1.01,1.03,1.85,1.77,2.20,0.98,0.99,1.01,1.99,1.88,2.64,
cpu_16_90_001,2.04,2.06,2.08,1.74,1.68,2.61,1.99,2.00,2.06,1.98,1.86,3.09,2.06,2.07,2.11,1.55,1.50,2.07,
cpu_32_90_001,4.17,4.22,4.25,1.49,1.40,2.36,4.13,4.18,4.24,1.53,1.39,2.49,3.96,3.98,4.05,2.82,1.81,2.95,
cpu_64_90_001,8.24,8.24,8.50,1.88,1.46,2.31,7.86,7.97,8.14,2.06,1.79,3.11,7.93,8.11,8.28,2.21,1.66,2.89,
cpu_128_90_001,16.22,16.27,16.68,1.80,1.57,2.55,15.96,16.10,16.64,1.77,1.56,2.65,15.86,16.01,16.45,2.12,1.62,2.88,
cpu_256_90_001,11.09,11.00,12.02,16.99,18.21,21.82,13.96,13.94,14.94,11.90,12.02,15.25,31.29,31.73,33.36,1.87,1.42,3.29,
cpu_512_90_001,33.93,35.13,38.77,5.39,3.48,9.97,28.41,27.88,35.44,6.11,5.15,13.68,27.83,28.00,29.87,10.21,11.56,14.09,
cpu_768_90_001,34.26,26.37,57.64,32.86,29.13,48.84,35.19,35.60,38.80,12.41,12.75,22.77,28.50,28.02,62.66,3.35,1.46,4.65,
cpu_1024_90_001,37.57,38.13,40.69,92.81,98.19,111.80,15.16,15.02,16.98,60.00,61.74,70.81,37.09,39.33,43.14,0.00,0.00,0.00,
cpu_1280_90_001,40.59,43.00,53.47,8.06,3.56,18.10,25.23,24.94,28.20,34.31,40.72,49.19,28.49,28.88,30.04,30.97,32.40,44.95,
cpu_1536_90_001,47.85,48.89,61.04,124.07,119.13,180.05,43.89,45.10,56.79,20.21,11.56,31.08,45.73,50.29,72.29,77.58,80.44,93.74,
cpu_1792_90_001,38.85,49.49,57.31,155.96,142.59,251.14,35.68,36.27,43.66,114.33,122.55,138.27,39.45,39.83,42.48,142.42,147.48,174.49,
cpu_2048_90_001,49.52,48.22,88.34,141.16,137.89,210.75,38.81,36.67,56.04,93.39,96.03,123.15,34.24,39.15,42.72,57.61,61.58,87.14,




Ring counter: 1 ring sync/async thinking time de 3 
name, sem_throughputReplica (avg)(kCommands/s), sem_throughputReplica (med)(kCommands/s), sem_throughputReplica (p95)(kCommands/s), sem_latency (avg)(ms), sem_latency (med)(ms), sem_latency (p95)(ms), cou_throughputReplica (avg)(kCommands/s), cou_throughputReplica (med)(kCommands/s), cou_throughputReplica (p95)(kCommands/s), cou_latency (avg)(ms), cou_latency (med)(ms), cou_latency (med)(ms), dec_throughputReplica (avg)(kCommands/s), dec_throughputReplica (med)(kCommands/s), dec_throughputReplica (p95)(kCommands/s), dec_latency (avg)(ms), dec_latency (med)(ms), dec_latency (p95)(ms), 
cpu_8_90_001,1.02,1.02,1.03,1.68,1.67,1.85,
cpu_16_90_001,1.98,1.99,2.03,1.93,1.86,2.52,
cpu_32_90_001,4.16,4.16,4.23,1.50,1.43,2.18,
cpu_64_90_001,8.14,8.16,8.32,1.68,1.67,2.69,
cpu_128_90_001,16.69,16.80,17.21,1.65,1.35,2.17,
cpu_256_90_001,32.90,33.48,34.87,1.65,1.19,2.93,
cpu_512_90_001,52.38,56.75,68.83,1.70,1.04,4.08,
cpu_768_90_001,48.06,57.51,92.08,2.09,0.94,5.39,
cpu_1024_90_001,60.09,62.27,91.28,2.21,1.04,5.72,
cpu_1280_90_001,54.70,57.28,75.02,4.25,2.53,8.59,
cpu_1536_90_001,41.66,46.76,89.82,2.56,1.10,6.03,
cpu_1792_90_001,51.08,39.78,97.04,3.30,1.42,9.33,
cpu_2048_90_001,48.56,50.54,89.98,4.04,1.51,9.92,

cpu_8_90_001_sync,1.03,1.03,1.04,1.66,1.62,1.99,
cpu_16_90_001_sync,2.09,2.09,2.12,1.51,1.47,1.70,
cpu_32_90_001_sync,4.13,4.18,4.22,1.59,1.45,2.24,
cpu_64_90_001_sync,8.03,8.21,8.43,1.78,1.43,2.63,
cpu_128_90_001_sync,16.70,16.84,17.47,1.52,1.23,2.10,
cpu_256_90_001_sync,28.75,29.51,32.22,3.13,1.89,7.06,
cpu_512_90_001_sync,40.87,41.64,45.99,6.50,5.38,16.50,
cpu_768_90_001_sync,46.11,47.36,56.39,7.51,5.54,18.96,
cpu_1024_90_001_sync,56.36,57.53,68.37,15.31,4.84,21.11,
cpu_1280_90_001_sync,0.00,0.00,0.00,0.00,0.0,0.0,
cpu_1536_90_001_sync,0.00,0.00,0.00,0.00,0.0,0.0,
cpu_1792_90_001_sync,0.00,0.00,0.00,0.00,0.0,0.0,
cpu_2048_90_001_sync,0.00,0.00,0.00,0.00,0.0,0.0,

cpu_8_90_001_async,1.00,1.00,1.03,1.92,1.87,2.76,
cpu_16_90_001_async,2.09,2.10,2.12,1.50,1.48,1.89,
cpu_32_90_001_async,4.05,4.08,4.15,1.70,1.59,2.63,
