__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
07:42:17,076 INFO  quarkus:88 [main] shared-logger 1.0.0-SNAPSHOT on JVM (powered by Quarkus 1.10.2.Final) started in 1.170s. Listening on: http://0.0.0.0:8888
07:42:17,085 INFO  quarkus:91 [main] Profile prod activated. 
07:42:17,086 INFO  quarkus:92 [main] Installed features: [cdi, rest-client, rest-client-jackson, resteasy, resteasy-jackson, smallrye-openapi]
07:42:21,170 INFO  LoggerController:66 [executor-thread-1] loggerRestClients size [2]
07:42:21,228 INFO  LoggerController:101 [executor-thread-1] Registering config [LoggerConfig [id=4, ring=1, replicas=1, pathPrefix=/tmp/]]
07:42:21,228 INFO  LoggerController:109 [executor-thread-1] Calling logger in url id [0] with id [4]
07:42:21,290 INFO  LoggerController:83 [executor-thread-2] Registering replica logger
07:42:21,646 INFO  ReplicaLoggerClient:63 [executor-thread-2] Path created [/tmp/09788fc0-92c5-4f09-bf75-da43b7239182]
1670597555802, 0, 961306
1670597556803, 0, 961306
1670597557803, 0, 961306
1670597558803, 0, 961306
1670597559803, 0, 961306
1670597560803, 0, 961306
1670597561804, 0, 961306
1670597562804, 0, 961306
1670597563804, 0, 961306
1670597564804, 0, 961306
1670597565804, 0, 961306
1670597566804, 0, 961306
1670597567805, 0, 961306
1670597568805, 0, 961306
1670597569805, 0, 961306
1670597570805, 0, 961306
1670597571805, 0, 961306
1670597572806, 0, 961306
1670597573806, 0, 961306
1670597574806, 0, 961306
1670597575806, 0, 961306
1670597576806, 0, 961306
1670597577807, 0, 961306
1670597578807, 0, 961306
1670597579807, 0, 961306
1670597580807, 0, 961306
1670597581807, 0, 961306
1670597582808, 0, 961306
1670597583808, 0, 961306
1670597584808, 0, 961306
1670597585808, 0, 961306
1670597586808, 0, 961306
1670597587809, 0, 961306
1670597588809, 0, 961306
1670597589809, 0, 961306
1670597590809, 0, 961306
1670597591809, 0, 961306
1670597592809, 0, 961306
1670597593810, 0, 961306
1670597594810, 0, 961306
1670597595810, 0, 961306
1670597596810, 0, 961306
1670597597810, 0, 961306
1670597598811, 0, 961306
1670597599811, 0, 961306
1670597600811, 0, 961306
1670597601811, 0, 961306
1670597602811, 0, 961306
1670597603812, 0, 961306
1670597604812, 0, 961306
1670597605812, 0, 961306
1670597606812, 0, 961306
1670597607812, 0, 961306
1670597608812, 0, 961306
1670597609813, 0, 961306
1670597610813, 0, 961306
1670597611813, 0, 961306
1670597612813, 0, 961306
1670597613813, 0, 961306
1670597614814, 0, 961306
1670597615814, 0, 961306
1670597616814, 0, 961306
1670597617814, 0, 961306
1670597618814, 0, 961306
1670597619815, 0, 961306
1670597620815, 0, 961306
1670597621815, 0, 961306
1670597622815, 0, 961306
1670597623815, 0, 961306
1670597624815, 0, 961306
1670597625816, 0, 961306
1670597626816, 0, 961306
1670597627816, 0, 961306
1670597628816, 0, 961306
1670597629816, 0, 961306
1670597630817, 0, 961306
1670597631817, 0, 961306
1670597632817, 0, 961306
1670597633817, 0, 961306
1670597634817, 0, 961306
1670597635818, 0, 961306
1670597636818, 0, 961306
1670597637818, 0, 961306
1670597638818, 0, 961306
1670597639818, 0, 961306
1670597640819, 0, 961306
1670597641819, 0, 961306
1670597642819, 0, 961306
1670597643819, 0, 961306
1670597644819, 0, 961306
1670597645819, 0, 961306
1670597646820, 0, 961306
1670597647820, 0, 961306
1670597648820, 0, 961306
1670597649820, 0, 961306
1670597650820, 0, 961306
1670597651821, 0, 961306
1670597652821, 0, 961306
1670597653821, 0, 961306
1670597654821, 0, 961306
1670597655821, 0, 961306
1670597656822, 0, 961306
1670597657822, 0, 961306
1670597658822, 0, 961306
1670597659822, 0, 961306
1670597660822, 0, 961306
1670597661823, 0, 961306
1670597662823, 0, 961306
1670597663823, 0, 961306
1670597664823, 0, 961306
1670597665823, 0, 961306
1670597666824, 0, 961306
1670597667824, 0, 961306
1670597668824, 0, 961306
1670597669824, 0, 961306
1670597670824, 0, 961306
1670597671825, 0, 961306
1670597672825, 0, 961306
1670597673825, 0, 961306
1670597674825, 0, 961306
1670597675825, 0, 961306
1670597676826, 0, 961306
1670597677826, 0, 961306
1670597678826, 0, 961306
1670597679826, 0, 961306
1670597680826, 0, 961306
1670597681826, 0, 961306
1670597682827, 0, 961306
1670597683827, 0, 961306
1670597684827, 0, 961306
1670597685827, 0, 961306
1670597686827, 0, 961306
1670597687828, 0, 961306
1670597688828, 0, 961306
1670597689828, 0, 961306
1670597690828, 0, 961306
1670597691828, 0, 961306
1670597692829, 0, 961306
1670597693829, 0, 961306
1670597694829, 0, 961306
1670597695830, 0, 961306
1670597696830, 0, 961306
1670597697830, 0, 961306
1670597698830, 0, 961306
1670597699830, 0, 961306
1670597700831, 0, 961306
1670597701831, 0, 961306
1670597702831, 0, 961306
1670597703831, 0, 961306
1670597704831, 0, 961306
1670597705832, 0, 961306
1670597706832, 0, 961306
1670597707832, 0, 961306
1670597708832, 0, 961306
1670597709832, 0, 961306
1670597710833, 0, 961306
1670597711833, 0, 961306
1670597712833, 0, 961306
1670597713833, 0, 961306
1670597714833, 0, 961306
1670597715833, 0, 961306
1670597716834, 0, 961306
1670597717834, 0, 961306
1670597718834, 0, 961306
1670597719834, 0, 961306
1670597720835, 0, 961306
1670597721835, 0, 961306
1670597722835, 0, 961306
1670597723835, 0, 961306
1670597724835, 0, 961306
1670597725835, 0, 961306
1670597726836, 0, 961306
1670597727836, 0, 961306
1670597728836, 0, 961306
1670597729836, 0, 961306
1670597730836, 0, 961306
1670597731837, 0, 961306
1670597732837, 0, 961306
1670597733837, 0, 961306
1670597734837, 0, 961306
1670597735837, 0, 961306
1670597736837, 0, 961306
1670597737838, 0, 961306
1670597738838, 0, 961306
1670597739838, 0, 961306
1670597740838, 0, 961306
1670597741838, 0, 961306
1670597742839, 0, 961306
1670597743839, 0, 961306
1670597744839, 0, 961306
1670597745839, 0, 961306
1670597746839, 0, 961306
1670597747840, 0, 961306
1670597748840, 0, 961306
1670597749840, 0, 961306
1670597750840, 0, 961306
1670597751840, 0, 961306
1670597752840, 0, 961306
1670597753841, 0, 961306
1670597754841, 0, 961306
1670597755841, 0, 961306
1670597756841, 0, 961306
1670597757841, 0, 961306
1670597758842, 0, 961306
1670597759842, 0, 961306
1670597760842, 0, 961306
1670597761842, 0, 961306
1670597762842, 0, 961306
1670597763843, 0, 961306
1670597764843, 0, 961306
1670597765843, 0, 961306
1670597766843, 0, 961306
1670597767843, 0, 961306
1670597768844, 0, 961306
1670597769844, 0, 961306
1670597770844, 0, 961306
1670597771844, 0, 961306
1670597772844, 0, 961306
1670597773845, 0, 961306
1670597774845, 0, 961306
1670597775845, 0, 961306
1670597776845, 0, 961306
1670597777845, 0, 961306
1670597778845, 0, 961306
1670597779846, 0, 961306
1670597780846, 0, 961306
1670597781846, 0, 961306
1670597782846, 0, 961306
1670597783846, 0, 961306
1670597784847, 0, 961306
1670597785847, 0, 961306
1670597786847, 0, 961306
1670597787847, 0, 961306
1670597788847, 0, 961306
1670597789848, 0, 961306
1670597790848, 0, 961306
1670597791848, 0, 961306
1670597792848, 0, 961306
1670597793848, 0, 961306
1670597794848, 0, 961306
1670597795849, 0, 961306
1670597796849, 0, 961306
1670597797849, 0, 961306
1670597798849, 0, 961306
1670597799849, 0, 961306
1670597800850, 0, 961306
1670597801850, 0, 961306
1670597802850, 0, 961306
